Accident_Index;longitude;latitude;Police_Force;Accident_Severity;Number_of_Vehicles;Number_of_Casualties;Day_of_Week;Time;Local_Authority_(District);Local_Authority_(Highway);1st_Road_Class;1st_Road_Number;Road_Type;Speed_limit;Junction_Detail;Junction_Control;2nd_Road_Class;2nd_Road_Number;Pedestrian_Crossing-Human_Control;Pedestrian_Crossing-Physical_Facilities;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Special_Conditions_at_Site;Carriageway_Hazards;Urban_or_Rural_Area;Did_Police_Officer_Attend_Scene_of_Accident;LSOA_of_Accident_Location;Date
11458;8.217.276.286;2.205.913.058;1;3;2;1;6;10:00;8;E09000028;3;100;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01003982;24/06/2018
11459;8.212.389.065;2.206.915.267;1;3;2;1;6;10:30;8;E09000028;4;238;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004021;24/06/2018
11460;8.217.502.547;220.721.668;1;3;1;1;6;00:06;8;E09000028;3;2207;6;30;6;2;3;100;0;5;4;1;1;0;0;1;1;E01004027;24/06/2018
11461;8.217.060.272;2.207.327.575;1;3;2;2;2;14:45;8;E09000028;3;212;6;30;8;4;6;0;0;0;1;1;1;0;0;1;1;E01003948;27/06/2018
11462;8.216.987.717;2.207.068.885;1;3;2;1;7;17:55;8;E09000028;3;2;6;30;3;4;6;0;0;5;1;1;1;0;0;1;2;E01003966;11/06/2018
11463;8.213.304.761;2.206.018.402;1;3;2;1;2;07:55;8;E09000028;3;3;6;30;3;4;6;0;0;0;1;1;1;0;0;1;2;E01003929;13/06/2018
11464;82.185.025;221.007.143;1;3;1;1;2;18:40;8;E09000028;3;215;6;30;0;-1;-1;0;0;4;1;1;1;0;0;1;2;E01003994;13/06/2018
11465;8.217.056.195;2.209.180.267;1;3;2;1;2;08:00;8;E09000028;6;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;2;E01003949;13/06/2018
11466;8.218.601.454;22.065.686;1;3;1;1;2;11:30;8;E09000028;3;2;6;30;6;2;4;214;0;5;1;1;1;0;0;1;2;E01004040;13/06/2018
11467;8.216.212.216;2.206.586.969;1;2;2;1;1;11:15;8;E09000028;3;2;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003964;26/06/2018
11468;8.217.815.643;2.209.720.508;1;3;2;1;6;08:02;8;E09000028;3;2207;6;30;6;2;3;100;0;5;1;1;1;0;0;1;1;E01004027;17/06/2018
11469;8.211.192.141;2.209.452.939;1;3;2;1;3;11:35;8;E09000028;3;202;6;30;3;4;6;0;0;1;1;1;1;0;0;1;2;E01004067;14/06/2018
11470;8.213.000.302;2.205.565.572;1;3;2;1;2;17:50;8;E09000028;3;101;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;2;E01004030;20/06/2018
11471;8.219.262.132;2.208.794.045;1;3;2;1;3;07:05;8;E09000028;6;0;6;30;3;4;3;2;0;0;1;1;1;0;0;1;2;E01003964;21/06/2018
11472;8.213.901.153;2.207.493.805;1;3;2;1;3;17:30;8;E09000028;3;200;1;30;1;4;3;200;0;0;1;1;1;0;0;1;2;E01004034;21/06/2018
11473;8.219.719.578;2.207.503.399;1;2;1;1;2;22:10;8;E09000028;3;3;1;30;1;4;3;302;0;4;1;1;1;0;0;1;2;E01003933;20/06/2018
11474;8.211.629.382;2.207.150.157;1;3;2;1;5;15:05;8;E09000028;4;238;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;2;E01004015;23/06/2018
11475;8.211.689.453;2.210.644.189;1;3;2;1;6;23:00;1;E09000033;3;301;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;2;24/06/2018;
11476;8.218.750.238;2.205.367.305;1;3;2;1;1;13:00;9;E09000022;3;202;6;30;0;-1;-1;0;0;5;1;1;1;0;0;1;2;E01003926;26/06/2018
11477;8.217.383.013;2.210.121.524;1;3;3;1;2;19:22;8;E09000028;3;215;6;30;6;2;3;202;0;5;1;1;1;0;0;1;2;E01003921;27/06/2018
11478;821.690.652;2.209.821.768;1;3;1;1;4;20:15;8;E09000028;3;202;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;2;E01004067;29/06/2018
11479;8.214.847.783;2.210.035.413;1;3;2;1;5;14:33;8;E09000028;3;215;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003994;10/03/2018
11480;8.216.175.115;2.208.851.429;1;3;1;1;6;15:00;8;E09000028;4;238;6;30;0;-1;-1;0;0;0;1;1;2;0;0;1;2;E01004021;01/07/2018
11481;8.219.762.538;2.205.873.181;1;3;2;2;6;21:00;8;E09000028;3;2216;6;30;6;2;4;219;0;5;1;1;1;0;0;1;2;E01004075;01/07/2018
11482;8.218.684.666;220.784.667;1;3;1;1;4;14:30;8;E09000028;6;0;2;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01004068;13/07/2018
11483;8.211.829.889;2.205.149.889;1;2;2;1;6;19:00;9;E09000022;3;202;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01003180;15/07/2018
11484;8.214.705.673;2.204.969.482;1;3;1;1;7;20:00;8;E09000028;3;202;6;30;3;4;6;0;0;5;1;1;1;0;0;1;1;E01004067;16/07/2018
11485;8.215.296.263;2.210.232.026;1;3;2;1;2;07:29;8;E09000028;3;202;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01003919;09/05/2018
11486;8.216.803.301;2.205.371.883;1;3;1;1;7;09:51;8;E09000028;3;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003076;16/07/2018
11487;8.213.590.297;2.209.445.537;1;3;2;2;6;17:47;8;E09000028;3;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003922;15/07/2018
11488;8.217.606.186;220.624.104;1;3;2;1;5;11:15;8;E09000028;3;202;6;30;0;-1;-1;0;0;4;1;1;1;0;0;1;2;E01004067;07/07/2018
11489;8.214.429.462;2.209.199.477;1;3;2;1;7;12:00;8;E09000028;3;201;6;30;3;4;4;240;0;0;1;1;1;0;0;1;1;E01003944;16/07/2018
11490;8.211.202.966;2.206.059.144;1;3;1;1;5;18:17;8;E09000028;3;2214;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004019;30/06/2018
11491;8.213.386.961;2.205.609.143;1;3;1;1;2;20:45;8;E09000028;3;2206;6;30;6;4;5;0;0;0;1;1;1;0;0;1;1;E01004042;11/07/2018
11492;821.487.201;2.210.619.542;1;3;2;1;1;13:50;8;E09000028;3;2216;6;30;3;2;6;0;0;5;1;1;1;0;0;1;1;E01004052;17/07/2018
11493;8.214.115.005;2.207.264.457;1;3;2;1;3;17:15;8;E09000028;4;214;6;30;3;2;6;0;0;5;1;1;1;0;0;1;1;E01003969;12/07/2018
11494;8.211.871.347;220.815.845;1;3;2;1;4;21:03;8;E09000028;6;0;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01003991;20/07/2018
11495;8.215.024.162;2.208.371.044;1;2;1;1;6;17:40;8;E09000028;3;202;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01004004;22/07/2018
11496;8.213.618.406;221.024.862;1;3;2;1;6;16:27;8;E09000028;3;202;6;30;8;4;6;0;0;0;1;1;1;0;0;1;1;E01003914;22/07/2018
11497;821.711.261;2.205.600.197;1;3;1;1;6;20:10;8;E09000028;3;2216;6;30;3;4;3;2216;0;1;1;1;1;0;0;1;1;E01004072;22/07/2018
11498;8.212.861.653;2.207.854.023;1;2;1;1;6;13:40;8;E09000028;4;238;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01004017;22/07/2018
11499;8.212.915.041;2.209.946.507;1;3;2;1;7;08:50;8;E09000028;3;202;6;30;6;2;3;202;0;5;1;1;1;0;0;1;1;E01003921;23/07/2018
11500;8.216.518.211;2.208.478.808;1;3;2;1;7;19:24;8;E09000028;3;2;6;30;3;2;4;215;0;5;1;1;1;0;0;1;1;E01003964;23/07/2018
11501;8.218.116.283;2.205.596.002;1;3;2;1;1;20:10;8;E09000028;3;2;6;30;6;2;6;0;0;5;1;1;1;0;0;1;1;E01003964;10/07/2018
11502;8.219.404.231;2.209.144.233;1;3;2;1;2;16:45;8;E09000028;3;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;2;E01003076;18/07/2018
11503;8.215.563.249;2.209.676.323;1;3;2;1;3;16:26;8;E09000028;3;2199;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01003064;19/07/2018
11504;8.212.214.835;2.209.616.778;1;3;2;1;3;17:40;8;E09000028;6;0;6;30;0;-1;-1;0;0;1;1;1;1;0;0;1;2;E01003993;19/07/2018
11505;8.213.247.439;2.210.385.477;1;3;1;1;4;16:46;8;E09000028;4;216;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003989;13/07/2018
11506;8.215.609.907;2.206.745.192;1;3;2;1;5;08:21;8;E09000028;3;100;6;20;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004027;14/07/2018
11507;8.214.669.012;2.205.173.845;1;3;2;1;7;20:38;8;E09000028;4;219;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003955;14/05/2018
11508;8.215.329.611;2.205.545.071;1;3;2;1;6;14:43;8;E09000028;4;204;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01004038;01/07/2018
11509;8.216.744.443;2.206.156.909;1;3;3;2;7;13:20;8;E09000028;4;238;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004015;02/07/2018
11510;8.210.731.008;2.206.339.882;1;3;1;1;6;15:37;8;E09000028;3;2214;6;30;6;2;3;2215;0;5;1;1;1;0;0;1;1;E01004021;08/07/2018
11511;8.211.599.781;2.210.196.901;1;2;1;1;3;17:40;8;E09000028;3;2201;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01004030;05/07/2018
11512;8.218.193.806;2.210.663.627;1;3;1;1;7;05:10;8;E09000028;5;0;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01003988;23/04/2018
11513;8.216.485.375;220.671.384;1;3;2;1;7;19:55;8;E09000028;3;2215;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01004062;09/07/2018
11514;8.219.749.791;2.207.195.356;1;3;1;1;2;15:24;8;E09000028;3;2206;6;30;3;4;5;0;0;0;1;1;1;0;0;1;1;E01004035;11/07/2018
11515;821.512.549;2.206.722.909;1;3;1;1;4;17:12;8;E09000028;3;2206;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004043;13/07/2018
11516;8.217.356.051;2.204.863.419;1;3;1;2;3;08:05;8;E09000028;3;300;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003935;05/07/2018
11517;8.219.294.386;2.208.144.631;1;3;2;1;3;08:50;8;E09000028;3;201;6;30;1;4;3;3202;0;0;1;1;1;0;0;1;1;E01003930;05/07/2018
11518;8.214.726.439;2.205.643.527;1;3;2;1;3;12:10;8;E09000028;3;202;6;30;0;-1;-1;0;0;0;1;2;2;0;0;1;1;E01004067;05/07/2018
11519;8.219.069.163;2.209.472.548;1;3;1;1;3;13:49;8;E09000028;4;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004010;05/07/2018
11520;8.218.214.679;220.776.306;1;3;2;1;2;18:43;8;E09000028;6;0;6;30;8;1;6;0;0;0;1;1;1;0;0;1;1;E01004069;04/07/2018
11521;821.738.588;2.209.997.914;1;3;1;1;2;13:12;8;E09000028;3;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003922;04/07/2018
11522;8.211.169.929;2.210.600.672;1;3;2;1;2;07:01;8;E09000028;3;2;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003942;04/07/2018
11523;8.210.780.866;220.673.275;1;3;2;1;3;05:50;8;E09000028;3;202;6;30;3;4;5;0;0;0;1;1;1;0;0;1;1;E01003984;12/07/2018
11524;8.212.908.811;2.209.207.983;1;2;2;2;3;12:20;8;E09000028;3;202;6;30;3;2;3;2215;0;5;1;1;1;0;0;1;1;E01004067;12/07/2018
11525;8.214.552.713;2.209.991.407;1;2;2;1;4;09:32;9;E09000022;3;3;6;30;6;2;3;203;0;5;1;2;2;0;0;1;1;E01003093;27/07/2018
11526;8.213.218.451;2.204.882.211;1;2;1;1;1;18:37;8;E09000028;4;219;6;30;0;-1;-1;0;0;1;1;1;1;0;0;1;1;E01004015;03/07/2018
11527;8.212.468.633;2.205.314.822;1;3;2;1;6;09:30;8;E09000028;3;200;6;30;3;4;5;0;0;0;1;1;1;0;0;1;1;E01004036;24/06/2018
11528;8.219.663.392;2.207.777.057;1;3;1;1;7;05:03;8;E09000028;3;201;6;30;3;4;4;240;0;0;4;1;1;0;0;1;1;E01003944;02/07/2018
11529;8.219.740.085;2.204.972.904;1;3;2;1;1;05:30;8;E09000028;3;202;6;30;3;4;6;0;0;5;1;1;1;0;0;1;1;E01003985;17/07/2018
11530;8.216.057.483;2.208.811.502;1;3;1;1;3;16:35;8;E09000028;6;0;6;30;0;-1;-1;0;0;1;1;1;1;0;0;1;1;E01004068;26/07/2018
11531;8.210.978.291;2.210.508.968;1;3;4;1;7;14:30;8;E09000028;5;0;6;30;0;-1;-1;0;0;0;1;1;2;0;0;1;1;E01004022;30/07/2018
11532;8.213.446.036;2.206.045.928;1;2;2;1;3;08:50;8;E09000028;3;3200;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01003935;19/07/2018
11533;821.171.478;2.205.372.756;1;3;1;1;7;12:25;8;E09000028;3;215;6;30;0;-1;-1;0;0;5;1;1;1;0;0;1;1;E01003923;16/07/2018
11534;8.214.501.974;2.210.231.257;1;3;2;2;2;19:52;8;E09000028;6;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003964;25/07/2018
11535;8.215.448.798;2.207.951.846;1;3;2;1;7;12:45;8;E09000028;3;2207;6;30;8;4;6;0;0;0;1;1;1;0;0;1;1;E01004027;02/07/2018
11536;8.217.750.962;2.209.746.011;1;2;2;1;4;06:55;8;E09000028;3;205;6;30;8;4;6;0;0;0;4;1;2;0;0;1;1;E01003949;06/07/2018
11537;821.475.291;2.208.708.213;1;3;1;1;5;17:39;8;E09000028;3;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003924;28/07/2018
11538;8.212.994.011;2.206.132.175;1;3;1;1;1;04:35;8;E09000028;3;202;6;30;3;4;6;0;0;1;4;1;1;0;0;1;1;E01004067;31/07/2018
11539;8.214.109.469;2.207.721.446;1;3;1;1;7;03:30;8;E09000028;3;215;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01003076;30/07/2018
11540;8.218.639.214;2.204.859.411;1;3;1;1;4;08:03;8;E09000028;3;2208;6;30;3;2;6;0;0;5;1;1;1;0;0;1;1;E01004035;29/06/2018
11541;8.219.444.152;2.208.384.161;1;3;2;1;1;10:36;8;E09000028;6;0;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01004028;24/07/2018
11542;8.214.426.563;2.209.057.863;1;3;1;1;6;20:09;8;E09000028;3;2214;6;30;0;-1;-1;0;0;1;1;1;1;0;0;1;1;E01003953;15/07/2018
11543;8.216.243.973;2.208.052.333;1;3;1;1;3;17:25;8;E09000028;3;200;6;30;3;2;3;2207;0;5;1;1;1;0;0;1;1;E01004028;12/07/2018
11544;8.213.580.295;2.209.346.202;1;3;2;1;1;21:30;8;E09000028;3;201;6;30;1;4;3;3;0;7;4;1;1;0;0;1;2;E01003959;30/01/2018
11545;8.217.919.166;2.207.738.056;1;3;1;1;7;19:41;8;E09000028;4;214;6;30;0;-1;-1;0;0;0;4;2;2;0;0;1;1;E01003969;01/01/2018
11546;8.214.491.081;2.205.736.922;1;2;1;1;1;19:25;8;E09000028;3;202;6;30;6;2;3;215;0;5;1;1;1;0;0;1;1;E01003921;17/07/2018
11547;8.214.041.938;2.210.059.625;1;3;2;1;1;19:10;8;E09000028;3;212;1;30;1;4;6;0;0;0;1;1;1;0;0;1;1;E01003948;17/07/2018
11548;8.219.314.863;2.208.384.052;1;3;2;1;4;11:55;8;E09000028;3;215;6;30;6;2;6;0;0;5;1;2;2;0;0;1;1;E01003996;27/07/2018
11549;8.211.915.338;2.207.254.901;1;2;2;1;7;12:50;8;E09000028;3;200;6;30;3;4;5;0;0;4;1;1;1;0;0;1;1;E01004034;30/07/2018
11550;8.210.886.706;2.208.462.607;1;3;2;1;5;09:12;8;E09000028;6;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004074;28/07/2018
11551;8.211.646.499;2.210.529.825;1;3;2;1;6;00:45;8;E09000028;3;2208;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01003989;08/07/2018
11552;8.218.475.228;2.206.239.572;1;2;2;1;5;09:18;8;E09000028;3;300;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01003927;07/07/2018
11553;8.213.563.153;2.207.004.186;1;3;2;1;5;22:13;8;E09000028;3;2216;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01003950;04/08/2018
11554;8.217.184.635;2.208.877.802;1;3;2;1;3;15:12;8;E09000028;3;201;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003944;02/08/2018
11555;8.211.483.321;2.208.690.437;1;3;2;1;4;12:00;8;E09000028;3;2214;6;30;6;2;3;2214;0;5;1;1;1;0;0;1;1;E01004064;03/08/2018
11556;8.211.596.684;2.207.689.827;1;3;1;1;4;14:23;8;E09000028;3;205;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003951;10/08/2018
11557;8.217.723.068;2.209.399.877;1;3;2;1;4;23:13;8;E09000028;3;201;6;30;3;2;6;0;0;5;4;1;1;0;0;1;1;E01003932;10/08/2018
11558;8.215.722.202;2.208.880.089;1;3;2;1;1;11:00;8;E09000028;3;2;6;30;6;4;6;0;0;1;1;1;1;0;0;1;2;E01003966;21/08/2018
11559;821.860.856;2.208.965.128;1;3;1;1;1;12:05;8;E09000028;4;217;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003912;17/07/2018
11560;8.219.007.543;2.206.994.134;1;3;1;1;2;17:20;8;E09000028;3;3;6;30;3;4;3;200;0;5;1;1;1;0;0;1;1;E01003929;18/07/2018
11561;8.213.481.367;2.207.168.898;1;3;2;1;5;15:50;8;E09000028;3;2216;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004052;04/08/2018
11562;8.211.707.587;2.209.685.278;1;3;2;1;7;20:38;8;E09000028;5;0;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01004002;30/07/2018
11563;821.770.923;2.208.324.052;1;3;1;1;6;21:30;9;E09000022;3;202;6;30;3;4;3;202;0;0;4;2;2;0;0;1;1;E01003919;05/08/2018
11564;8.217.379.418;220.728.353;1;3;1;1;6;13:40;8;E09000028;3;202;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004066;05/08/2018
11565;8.216.663.046;2.210.634.087;1;3;2;1;7;08:30;8;E09000028;3;2216;6;30;3;4;3;2214;0;0;1;1;1;0;0;1;1;E01003952;06/08/2018
11566;8.213.270.908;2.207.790.657;1;3;3;1;7;17:00;8;E09000028;3;2;3;30;7;2;6;0;0;5;1;1;1;0;0;1;1;E01003964;06/08/2018
11567;8.218.864.916;2.207.792.081;1;3;2;1;1;12:30;8;E09000028;3;215;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01003997;07/08/2018
11568;8.211.686.718;2.205.296.014;1;3;2;2;3;01:00;8;E09000028;3;202;6;30;8;4;6;0;0;1;4;1;1;0;0;1;1;E01004067;09/08/2018
11569;8.210.827.403;2.207.269.842;1;3;2;1;6;17:54;8;E09000028;4;215;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003990;12/08/2018
11570;8.218.838.654;2.206.131.486;1;3;2;1;3;08:00;9;E09000022;3;215;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01003072;09/08/2018
11571;8.218.049.742;2.210.346.705;1;3;2;2;1;01:43;8;E09000028;3;2;6;30;3;2;3;2;0;5;4;1;1;0;0;1;1;E01003966;14/08/2018
11572;8.212.504.111;2.209.439.253;1;3;2;1;7;15:21;8;E09000028;6;0;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01004061;13/08/2018
11573;8.216.023.086;2.206.690.905;1;3;1;1;6;17:30;8;E09000028;3;212;6;30;0;-1;-1;0;0;0;1;2;2;0;0;1;1;E01003948;19/08/2018
11574;8.215.979.857;2.210.568.186;1;3;2;1;2;10:19;8;E09000028;3;3;1;30;1;2;3;3;0;5;1;1;1;3;0;1;1;E01003932;22/08/2018
11575;8.216.160.886;2.210.808.728;1;3;1;1;3;20:45;8;E09000028;3;3;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003932;16/08/2018
11576;8.213.733.989;2.209.572.417;1;3;2;2;6;09:08;8;E09000028;4;202;6;30;3;4;6;0;0;0;1;1;2;0;0;1;1;E01003976;19/08/2018
11577;8.213.292.664;220.499.038;1;3;2;1;6;17:23;8;E09000028;6;0;2;30;3;4;6;0;0;0;1;1;2;0;0;1;1;E01003965;19/08/2018
11578;8.217.007.226;2.206.076.087;1;3;2;1;6;17:16;8;E09000028;6;0;6;30;0;-1;-1;0;0;0;1;2;2;0;0;1;1;E01003965;19/08/2018
11579;8.218.894.522;2.206.890.476;1;3;3;1;5;05:59;8;E09000028;6;0;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01003977;18/08/2018
11580;8.217.442.517;2.206.862.301;1;3;2;1;5;13:46;8;E09000028;3;215;6;30;6;2;6;0;0;5;1;1;1;0;0;1;1;E01003996;25/08/2018
11581;8.211.408.993;2.209.043.724;1;3;1;1;7;13:19;8;E09000028;3;202;6;30;0;-1;-1;0;0;5;1;1;1;0;0;1;1;E01004066;09/07/2018
11582;8.217.659.026;220.634.384;1;3;2;1;2;13:08;8;E09000028;3;100;6;30;6;2;3;2207;0;5;1;1;1;0;0;1;1;E01004027;08/08/2018
11583;8.219.160.298;2.210.645.367;1;3;1;1;4;14:10;8;E09000028;6;0;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003987;24/08/2018
11584;8.213.401.509;2.209.683.244;1;3;1;1;6;12:10;8;E09000028;3;100;6;30;6;2;3;2205;0;5;1;1;1;0;0;1;1;E01003941;05/08/2018
11585;8.216.466.987;2.208.404.918;1;3;1;1;7;12:40;8;E09000028;4;215;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01004010;27/08/2018
11586;8.212.138.167;2.206.947.474;1;3;2;1;7;19:12;8;E09000028;3;2;1;30;1;4;3;2;0;0;1;1;1;0;0;1;1;E01003941;06/08/2018
11587;8.218.672.282;2.210.277.395;1;3;2;1;1;14:50;8;E09000028;4;204;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01004038;31/07/2018
11588;8.219.154.866;2.209.438.025;1;2;3;1;2;08:20;8;E09000028;3;200;6;30;0;-1;-1;0;0;1;1;1;1;0;0;1;1;E01004027;22/08/2018
11589;8.212.322.225;2.207.404.972;1;3;2;1;4;23:57;8;E09000028;3;200;6;30;3;2;3;2202;0;5;4;1;1;0;0;1;1;E01004031;24/08/2018
11590;8.216.406.059;2.207.266.178;1;3;1;1;1;13:30;8;E09000028;6;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01003972;28/08/2018
11591;8.215.075.125;2.208.804.163;1;3;2;1;2;16:33;8;E09000028;4;215;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01004010;22/08/2018
11592;8.212.305.738;2.208.151.913;1;3;1;2;6;10:17;8;E09000028;3;215;6;30;3;2;6;0;0;5;1;1;1;0;0;1;1;E01003921;12/08/2018
11593;8.213.964.363;220.885.138;1;3;1;1;5;18:50;8;E09000028;6;0;6;30;6;4;3;200;0;4;1;1;1;0;0;1;1;E01003939;25/08/2018
11594;8.211.745.166;2.207.110.091;1;3;1;1;4;14:45;8;E09000028;3;2215;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01004062;24/08/2018
11595;8.213.237.728;220.586.958;1;3;1;1;1;17:30;8;E09000028;5;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01004064;28/08/2018
11596;8.215.671.951;2.205.665.091;1;3;1;1;7;17:15;8;E09000028;6;0;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01004070;27/08/2018
11597;8.212.694.391;2.208.793.562;1;3;3;1;2;16:46;8;E09000028;3;2199;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01003165;29/08/2018
11598;8.216.733.986;2.209.715.232;1;3;1;1;3;16:40;9;E09000022;3;205;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01003164;30/08/2018
11599;8.218.509.611;2.205.128.258;1;3;2;1;5;16:43;8;E09000028;3;2;6;30;3;2;6;0;0;5;1;1;1;0;0;1;1;E01003964;25/08/2018
11600;8.211.481.632;2.207.408.457;1;3;2;1;5;21:20;8;E09000028;3;2206;6;30;3;2;4;203;0;5;1;1;1;0;0;1;2;E01003977;21/04/2018
11601;8.218.358.472;2.208.469.705;1;3;2;1;6;13:04;8;E09000028;3;2214;6;30;7;4;3;2214;0;0;1;1;1;0;0;1;1;E01004073;26/08/2018
11602;8.216.839.338;2.209.855.164;1;3;2;1;1;10:00;8;E09000028;3;101;2;30;1;4;3;200;0;0;1;1;1;0;0;1;1;E01004033;14/08/2018
11603;8.211.524.126;2.207.062.786;1;3;1;1;3;10:15;8;E09000028;3;215;6;30;3;2;3;215;0;5;1;1;1;0;0;1;1;E01003996;16/08/2018
11604;821.820.444;2.210.625.042;1;3;2;4;7;19:30;9;E09000022;3;301;1;30;1;4;3;301;0;0;1;1;1;0;0;1;2;E01003016;13/08/2018
11605;8.219.044.043;2.210.730.161;1;3;1;1;7;13:00;9;E09000022;3;3;6;30;3;2;5;0;0;5;1;1;1;0;0;1;1;E01003108;27/08/2018
11606;8.217.838.415;2.204.847.974;1;3;1;1;7;12:10;8;E09000028;3;2215;6;30;0;-1;-1;0;0;5;1;1;1;0;0;1;1;E01004062;27/08/2018
11607;8.213.117.889;2.209.967.707;1;3;3;2;4;16:32;8;E09000028;3;3;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01003927;31/08/2018
11608;8.215.852.344;221.016.909;1;3;2;1;3;21:00;8;E09000028;6;0;6;30;2;4;6;0;0;0;1;1;1;0;0;1;2;E01004067;26/07/2018
11609;8.215.434.213;2.205.122.177;1;3;2;1;3;17:10;8;E09000028;3;200;6;30;3;4;5;0;0;0;1;1;1;0;0;1;1;E01004036;16/08/2018
11610;821.651.718;2.208.615.694;1;3;2;1;3;14:00;8;E09000028;3;2;6;30;3;2;4;203;0;5;1;1;1;0;0;1;2;E01003966;06/09/2018
11611;8.211.601.759;2.208.468.846;1;3;2;1;2;20:15;8;E09000028;3;3200;6;30;6;4;6;0;0;1;4;2;2;0;0;1;2;E01003934;22/08/2018
11612;8.217.802.415;2.209.734.581;1;3;2;1;3;20:35;8;E09000028;3;202;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;2;E01004004;02/08/2018
11613;8.214.162.391;2.209.076.514;1;3;2;1;2;11:35;8;E09000028;3;3;6;30;0;-1;-1;0;0;5;1;2;2;0;0;1;1;E01003933;25/07/2018
11614;8.217.719.999;2.205.132.219;1;3;1;1;7;02:09;8;E09000028;3;3;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01003996;14/05/2018
11615;8.211.438.138;2.210.220.831;1;3;2;5;2;21:00;8;E09000028;3;2214;6;30;6;4;5;0;0;0;4;1;1;0;0;1;1;E01004068;27/06/2018
